anio_mat,entidad_id,ent_regis,municipio_id,mun_regis,tipo_div,causa,hijos,custodia,pension,edad_mdiv1,escol_div1,con_acdiv1,sexo_div1,edad_mdiv2,escol_div2,con_acdiv2,sexo_div2
2017,12,Guerrero,38,Los Cabos,Judicial,Mutuo consentimiento,1,Divorciante 2,Hijos,18,Preparatoria o equivalente,Trabaja,Hombre,19,Preparatoria o equivalente,No trabaja,Mujer
2017,12,Guerrero,38,Los Cabos,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,22,Preparatoria o equivalente,Trabaja,Hombre,18,Secundaria o equivalente,Trabaja,Mujer
2018,12,Guerrero,52,Acuña,Judicial,Incompatibilidad de caracteres,1,Divorciante 1,Hijos,20,Secundaria o equivalente,Trabaja,Hombre,19,Secundaria o equivalente,No trabaja,Mujer
2018,12,Guerrero,57,Cuatro Ciénegas,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,23,Preparatoria o equivalente,Trabaja,Hombre,18,Preparatoria o equivalente,No trabaja,Mujer
2018,12,Guerrero,52,Acuña,Judicial,Incompatibilidad de caracteres,0,no se otorga,Ninguno,24,Secundaria o equivalente,Trabaja,Hombre,18,Secundaria o equivalente,No trabaja,Mujer
2018,12,Guerrero,12,Asientos,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,30,Preparatoria o equivalente,Trabaja,Hombre,18,Preparatoria o equivalente,No trabaja,Mujer
2019,12,Guerrero,52,Acuña,Judicial,Incompatibilidad de caracteres,1,Ambos,Hijos,18,Secundaria o equivalente,Trabaja,Hombre,18,Secundaria o equivalente,No trabaja,Mujer
2019,12,Guerrero,22,Mexicali,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,21,Secundaria o equivalente,Trabaja,Hombre,18,Preparatoria o equivalente,No trabaja,Mujer
2019,12,Guerrero,55,Candela,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,19,Preparatoria o equivalente,Trabaja,Hombre,18,Preparatoria o equivalente,Trabaja,Mujer
2019,12,Guerrero,22,Mexicali,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,21,Secundaria o equivalente,Trabaja,Hombre,19,No especificada,No trabaja,Mujer
2015,13,Hidalgo,81,Ahumada,Judicial,Mutuo consentimiento,0,no se otorga,Ninguno,24,Secundaria o equivalente,Trabaja,Hombre,19,Superior,Trabaja,Mujer
2015,13,Hidalgo,63,Comala,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,24,Secundaria o equivalente,Trabaja,Hombre,17,Secundaria o equivalente,Trabaja,Mujer
2015,13,Hidalgo,76,Amatenango de la Frontera,Judicial,Mutuo consentimiento,2,Divorciante 1,Hijos,18,Secundaria o equivalente,No trabaja,Mujer,30,Secundaria o equivalente,Trabaja,Hombre
2015,13,Hidalgo,77,Amatenango del Valle,Judicial,Mutuo consentimiento,2,Ambos,Hijos,19,Preparatoria o equivalente,Trabaja,Mujer,21,Preparatoria o equivalente,Trabaja,Hombre
2015,13,Hidalgo,63,Comala,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,27,Secundaria o equivalente,Trabaja,Hombre,19,Secundaria o equivalente,Trabaja,Mujer
2015,13,Hidalgo,76,Amatenango de la Frontera,Judicial,Voluntario unilateral,1,Divorciante 1,Hijos,19,Preparatoria o equivalente,No trabaja,Mujer,21,Preparatoria o equivalente,Trabaja,Hombre
2015,13,Hidalgo,48,Tenabo,Judicial,Voluntario unilateral,1,Divorciante 1,Hijos,18,Secundaria o equivalente,Trabaja,Mujer,25,Secundaria o equivalente,Trabaja,Hombre
2015,13,Hidalgo,77,Amatenango del Valle,Judicial,Voluntario unilateral,1,Divorciante 1,Hijos,19,No especificada,No especificada,Mujer,21,No especificada,No especificada,Hombre
2015,13,Hidalgo,48,Tenabo,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,19,Preparatoria o equivalente,Trabaja,Mujer,25,Secundaria o equivalente,Trabaja,Hombre
2015,13,Hidalgo,81,Ahumada,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,20,Preparatoria o equivalente,Trabaja,Hombre,17,Superior,Trabaja,Mujer
2015,13,Hidalgo,42,Campeche,Judicial,Voluntario unilateral,1,Ambos,Hijos,19,No especificada,No trabaja,Mujer,18,Preparatoria o equivalente,Trabaja,Hombre
2015,13,Hidalgo,63,Comala,Judicial,Mutuo consentimiento,0,no se otorga,Ninguno,36,Secundaria o equivalente,Trabaja,Hombre,19,Carrera técnica,Trabaja,Mujer
2015,13,Hidalgo,76,Amatenango de la Frontera,Judicial,Voluntario unilateral,1,Divorciante 1,Hijos,16,Secundaria o equivalente,No trabaja,Mujer,23,Secundaria o equivalente,Trabaja,Hombre
2015,13,Hidalgo,48,Tenabo,Judicial,Mutuo consentimiento,1,Divorciante 1,Hijos,16,Preparatoria o equivalente,Trabaja,Mujer,18,Preparatoria o equivalente,Trabaja,Hombre
2015,13,Hidalgo,63,Comala,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,21,Secundaria o equivalente,Trabaja,Hombre,17,Preparatoria o equivalente,Trabaja,Mujer
2015,13,Hidalgo,77,Amatenango del Valle,Judicial,Voluntario unilateral,1,no se otorga,Ninguno,18,No especificada,No especificada,Mujer,20,No especificada,No especificada,Hombre
2016,13,Hidalgo,77,Amatenango del Valle,Judicial,Voluntario unilateral,2,Divorciante 1,Hijos,21,No especificada,No especificada,Hombre,17,No especificada,No especificada,Mujer
2016,13,Hidalgo,77,Amatenango del Valle,Judicial,Voluntario unilateral,1,Divorciante 1,Hijos,18,Superior,Trabaja,Mujer,29,Superior,Trabaja,Hombre
2016,13,Hidalgo,48,Tenabo,Judicial,Mutuo consentimiento,1,Divorciante 1,Hijos,19,Preparatoria o equivalente,Trabaja,Mujer,24,Secundaria o equivalente,Trabaja,Hombre
2016,13,Hidalgo,77,Amatenango del Valle,Judicial,Voluntario unilateral,2,Divorciante 1,Hijos,25,No especificada,No especificada,Hombre,18,No especificada,No especificada,Mujer
2016,13,Hidalgo,69,Tecomán,Judicial,Voluntario unilateral,1,Divorciante 1,Hijos,16,Superior,Trabaja,Mujer,20,Preparatoria o equivalente,Trabaja,Hombre
2016,13,Hidalgo,48,Tenabo,Judicial,Mutuo consentimiento,1,no se otorga,Ninguno,18,Preparatoria o equivalente,Trabaja,Mujer,27,Preparatoria o equivalente,Trabaja,Hombre
2016,13,Hidalgo,48,Tenabo,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,21,Secundaria o equivalente,Trabaja,Hombre,17,Secundaria o equivalente,Trabaja,Mujer
2016,13,Hidalgo,31,Comondú,Judicial,Mutuo consentimiento,1,Divorciante 2,Hijos,99,No especificada,No especificada,Hombre,19,No especificada,No especificada,Mujer
2016,13,Hidalgo,77,Amatenango del Valle,Judicial,Voluntario unilateral,1,Divorciante 1,Hijos,18,No especificada,No especificada,Mujer,21,No especificada,No especificada,Hombre
2016,13,Hidalgo,63,Comala,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,20,Superior,No trabaja,Hombre,17,Superior,No trabaja,Mujer
2016,13,Hidalgo,48,Tenabo,Judicial,Mutuo consentimiento,0,no se otorga,Ninguno,19,Preparatoria o equivalente,Trabaja,Mujer,21,Preparatoria o equivalente,Trabaja,Hombre
2016,13,Hidalgo,77,Amatenango del Valle,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,18,No especificada,No especificada,Hombre,17,No especificada,No especificada,Mujer
2016,13,Hidalgo,42,Campeche,Judicial,Mutuo consentimiento,1,Ambos,Hijos,26,Superior,Trabaja,Hombre,18,Carrera técnica,No trabaja,Mujer
2016,13,Hidalgo,77,Amatenango del Valle,Judicial,Mutuo consentimiento,0,no se otorga,Ninguno,19,No especificada,No especificada,Mujer,22,No especificada,No especificada,Hombre
2016,13,Hidalgo,63,Comala,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,18,Preparatoria o equivalente,Trabaja,Hombre,19,Preparatoria o equivalente,Trabaja,Mujer
2017,13,Hidalgo,76,Amatenango de la Frontera,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,19,Secundaria o equivalente,No trabaja,Mujer,23,Preparatoria o equivalente,Trabaja,Hombre
2017,13,Hidalgo,48,Tenabo,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,24,No especificada,No especificada,Hombre,17,No especificada,No especificada,Mujer
2017,13,Hidalgo,77,Amatenango del Valle,Judicial,Voluntario unilateral,1,Divorciante 1,Hijos,19,Secundaria o equivalente,No trabaja,Mujer,18,Secundaria o equivalente,Trabaja,Hombre
2017,13,Hidalgo,84,Aquiles Serdán,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,29,Preparatoria o equivalente,Trabaja,Hombre,17,No especificada,No trabaja,Mujer
2017,13,Hidalgo,77,Amatenango del Valle,Judicial,Voluntario unilateral,1,no se otorga,Ninguno,26,Secundaria o equivalente,Trabaja,Hombre,19,Secundaria o equivalente,No trabaja,Mujer
2017,13,Hidalgo,48,Tenabo,Judicial,Voluntario unilateral,1,Divorciante 1,Hijos,18,Sin escolaridad,Trabaja,Mujer,24,Sin escolaridad,Trabaja,Hombre
2017,13,Hidalgo,69,Tecomán,Judicial,Mutuo consentimiento,0,no se otorga,Ninguno,19,Secundaria o equivalente,Trabaja,Hombre,18,Secundaria o equivalente,No trabaja,Mujer
2017,13,Hidalgo,48,Tenabo,Judicial,Mutuo consentimiento,2,Ambos,Hijos,28,Superior,Trabaja,Hombre,19,Preparatoria o equivalente,No trabaja,Mujer
2017,13,Hidalgo,48,Tenabo,Judicial,Mutuo consentimiento,0,no se otorga,Ninguno,27,Preparatoria o equivalente,Trabaja,Hombre,19,Preparatoria o equivalente,Trabaja,Mujer
2017,13,Hidalgo,63,Comala,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,28,Preparatoria o equivalente,Trabaja,Hombre,19,Secundaria o equivalente,Trabaja,Mujer
2018,13,Hidalgo,77,Amatenango del Valle,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,99,No especificada,No especificada,Hombre,17,No especificada,No especificada,Mujer
2018,13,Hidalgo,48,Tenabo,Judicial,Voluntario unilateral,1,Divorciante 1,Hijos,19,Secundaria o equivalente,Trabaja,Mujer,99,No especificada,No especificada,Hombre
2018,13,Hidalgo,41,Calkiní,Judicial,Mutuo consentimiento,0,no se otorga,Ninguno,18,Preparatoria o equivalente,No trabaja,Mujer,32,Superior,Trabaja,Hombre
2018,13,Hidalgo,48,Tenabo,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,25,Primaria completa,Trabaja,Hombre,19,Secundaria o equivalente,Trabaja,Mujer
2018,13,Hidalgo,63,Comala,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,17,Secundaria o equivalente,Trabaja,Hombre,18,Preparatoria o equivalente,No trabaja,Mujer
2018,13,Hidalgo,76,Amatenango de la Frontera,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,22,Secundaria o equivalente,Trabaja,Hombre,18,Preparatoria o equivalente,Trabaja,Mujer
